UID          PID    PPID  C STIME TTY          TIME CMD
james       1620    1613  0 17:52 ?        00:00:01 /usr/libexec/ibus-ui-gtk3
james       1621    1613  1 17:52 ?        00:00:05 /usr/libexec/ibus-extension-gtk3
james       1625       1  0 17:52 ?        00:00:01 /usr/libexec/ibus-x11 --kill-daemon
james       1628    1408  0 17:52 ?        00:00:00 /usr/libexec/ibus-portal
james       1634    1408  0 17:52 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
james       1639    1634  0 17:52 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
james       1644    1408  0 17:52 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
james       1652    1408  0 17:52 ?        00:00:00 /usr/libexec/xdg-desktop-portal
james       1660    1408  0 17:52 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
james       1662    1408  0 17:52 ?        00:00:00 /usr/libexec/xdg-document-portal
james       1670    1408  0 17:52 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
james       1671    1408  0 17:52 ?        00:00:00 /usr/libexec/xdg-permission-store
james       1681    1408  0 17:52 ?        00:00:01 /usr/libexec/xdg-desktop-portal-gtk
james       1693    1408  0 17:52 ?        00:00:00 /usr/libexec/dconf-service
james       1703    1408  5 17:52 ?        00:00:27 /usr/bin/gnome-shell
james       1723    1613  0 17:52 ?        00:00:00 /usr/libexec/ibus-engine-simple
james       1760    1408  0 17:52 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
james       1764    1408  0 17:52 ?        00:00:00 /usr/libexec/evolution-source-registry
james       1783    1408  0 17:52 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
james       1790    1428  0 17:52 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
james       1801    1408  0 17:52 ?        00:00:00 /usr/libexec/evolution-calendar-factory
james       1803    1408  0 17:52 ?        00:00:00 /usr/libexec/gsd-a11y-settings
james       1804    1408  0 17:52 ?        00:00:01 /usr/libexec/gsd-color
james       1807    1408  0 17:52 ?        00:00:00 /usr/libexec/gsd-datetime
james       1808    1408  0 17:52 ?        00:00:00 /usr/libexec/gsd-housekeeping
james       1809    1408  0 17:52 ?        00:00:01 /usr/libexec/gsd-keyboard
james       1812    1408  0 17:52 ?        00:00:01 /usr/libexec/gsd-media-keys
james       1815    1408  0 17:52 ?        00:00:01 /usr/libexec/gsd-power
james       1817    1408  0 17:52 ?        00:00:00 /usr/libexec/gsd-print-notifications
james       1818    1408  0 17:52 ?        00:00:00 /usr/libexec/gsd-rfkill
james       1821    1408  0 17:52 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
james       1824    1408  0 17:52 ?        00:00:00 /usr/libexec/gsd-sharing
james       1827    1408  0 17:52 ?        00:00:00 /usr/libexec/gsd-smartcard
james       1831    1408  0 17:52 ?        00:00:00 /usr/libexec/gsd-sound
james       1834    1408  0 17:52 ?        00:00:00 /usr/libexec/gsd-usb-protection
james       1836    1408  0 17:52 ?        00:00:01 /usr/libexec/gsd-wacom
james       1839    1408  0 17:52 ?        00:00:00 /usr/libexec/gsd-wwan
james       1840    1408  0 17:52 ?        00:00:01 /usr/libexec/gsd-xsettings
james       1877    1670  0 17:52 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
james       1886    1670  0 17:52 ?        00:00:01 /usr/libexec/evolution-data-server/evolution-alarm-notify
james       1893    1408  0 17:52 ?        00:00:00 /usr/libexec/gsd-printer
james       1938    1408  0 17:52 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
james       2051    1408  1 17:53 ?        00:00:05 /usr/libexec/gnome-terminal-server
james       2062    2051  0 17:53 pts/0    00:00:00 bash
james       2089    1670  0 17:53 ?        00:00:00 update-notifier
root        3950       2  0 17:58 ?        00:00:00 [kworker/u2:2]
root        4180       2  0 17:59 ?        00:00:00 [kworker/0:0]
james       4420    2062  0 18:01 pts/0    00:00:00 ps -ef
